file_name|id|source_org|source_file|original_id|type|name|address|city|state|zip_code|county|location_description|phone|url|latitude|longitude|latlng_source|date_from|date_to|open_to_spec_group|data_issues|food_bucks|snap|wic|fmnp|fresh_produce|free_distribution|food_rx|group_id|merged_record|timestamp|in_error|active_record
Just Harvest Google Sheets|0|Just Harvest|Just Harvest Google Sheets||convenience store|Juba Grocery|2721 Brownsville Rd|Pittsburgh|PA|15227|Allegheny|Carrick|||40.383852|-79.97718|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|1|Just Harvest|Just Harvest Google Sheets||convenience store|Carl's Café|337 5th Ave|Rankin|PA|15104|Allegheny|Rankin|||40.414092|-79.881741|MapBox GeoCode|||||True|True|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|2|Just Harvest|Just Harvest Google Sheets||convenience store|Farm Fresh Foods|226 N. Negley Ave|Pittsburgh|PA|15206|Allegheny|East Liberty|||40.465352|-79.929199|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|3|Just Harvest|Just Harvest Google Sheets||convenience store|L.A. Grocery|511 Larimer Ave|Pittsburgh|PA|15206|Allegheny|Larimer|||40.465574|-79.914174|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|4|Just Harvest|Just Harvest Google Sheets||convenience store|Bailey Food Mart|2316 Bailie Ave|McKeesport|PA|15132|Allegheny|McKeesport|||40.341123|-79.848613|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|5|Just Harvest|Just Harvest Google Sheets||convenience store|In & Out Corner Market|300 Helen St.|McKees Rocks|PA|15136|Allegheny|McKees Rocks|||40.474109|-80.057106|MapBox GeoCode|||||True|True|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|6|Just Harvest|Just Harvest Google Sheets||convenience store|Rocks Express|700 Frederick Street|McKees Rocks|PA|15136|Allegheny|McKees Rocks|||40.471345|-80.064963|MapBox GeoCode|||||True|True|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|7|Just Harvest|Just Harvest Google Sheets||convenience store|Deann's Groceria|207 Brownsville Rd.|Mount Oliver|PA|15210|Allegheny|Mt. Oliver|||40.41557|-79.98712|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|8|Just Harvest|Just Harvest Google Sheets||convenience store|Schwartz Market|1901 5th Ave|Pittsburgh|PA|15219|Allegheny|Uptown|||40.43848|-79.979285|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|9|Just Harvest|Just Harvest Google Sheets||convenience store|Produce Marketplace|519 St Clair Ave|Clairton|PA|15025|Allegheny|Clairton|||40.293344|-79.886345|MapBox GeoCode|||||True|True|False|False|True|False|False||False||False|True
Just Harvest Google Sheets|10|Just Harvest|Just Harvest Google Sheets||convenience store|Ann's Market|2316 Webster Ave|Pittsburgh|PA|15219|Allegheny|Hill District|||40.448335|-79.975231|MapBox GeoCode|||||False|False|False|False|True|False|False||False||False|True
